Minisector,BOT,PER,Fastest
0,297.1192756592108,287.9746965985351,BOT
1,308.4645664717087,293.467695421188,BOT
2,159.4166737606396,168.87563473302612,PER
3,219.6061741015873,218.4538623449775,BOT
4,279.9624990877193,270.6829971716344,BOT
5,306.8795088937202,291.78981481481486,BOT
6,317.3237045064426,300.40661586715436,BOT
7,167.25007779990656,184.8717217167586,PER
8,117.37083205756613,117.45278057639247,PER
9,250.7718237968254,244.23831168831168,BOT
10,290.34999955087716,281.7488184943924,BOT
11,304.2313726028011,293.3852646084646,BOT
12,149.41817080747978,163.76579391546872,PER
13,191.2073172994709,180.5136709478383,BOT
14,255.8058022311447,252.36666661587302,BOT
15,207.50224455384614,215.52964378166695,PER
16,217.25497526129547,215.048,BOT
17,213.8178336853333,217.75083810463482,PER
18,240.51387551995555,241.01349175873014,PER
19,272.8502187789474,273.358149258794,PER
20,288.98026301754385,289.440350708772,PER
21,267.82660363307315,271.62229168,PER
22,226.61232706666667,229.95644066691392,PER
23,200.53254996073963,202.95546531796685,PER
24,259.27442223267894,259.1744046730159,BOT
25,276.4124992,280.1541664,PER
