Minisector,HAM,TSU,Fastest
0,290.00550061783485,296.03729911688316,TSU
1,152.37437759465774,152.7535665187779,TSU
2,151.29453701536883,154.70311966230508,TSU
3,233.43448599767217,226.45655723377777,HAM
4,293.68703570761903,283.95560449931435,HAM
5,296.17538348028023,294.20344479758126,HAM
6,151.6730479180872,143.10735909474425,HAM
7,142.53549885267816,140.32968837198243,HAM
8,135.00670951485927,139.43305397671395,TSU
9,192.12275937385954,184.84913222442455,HAM
10,129.10714569120472,129.0527117603198,HAM
11,124.8043470788752,122.55577905139079,HAM
12,161.10454668799522,169.1272944960805,TSU
13,266.9059823152779,267.5648244913131,TSU
14,293.95423865872306,291.38157551650187,HAM
15,151.0218478688395,145.75361707045505,HAM
16,209.99981423537648,205.41561309848305,HAM
17,170.86829725270567,170.71733949150595,HAM
18,270.881470223467,272.0366921703704,TSU
19,297.40083873556404,295.07701134413486,HAM
20,310.44053090806244,308.96886059276187,HAM
21,318.1905285643739,318.0187338535065,HAM
22,322.6735417625397,320.8274635134503,HAM
23,325.3683489027063,322.97602040816327,HAM
24,322.7303376588831,323.5083010084961,TSU
