Minisector,PER,STR,Fastest
0,307.7057984,319.2011054367347,STR
1,156.5273537076302,160.81107572032522,STR
2,158.19164621440038,194.61385833736986,STR
3,205.15458817354727,156.45444467988278,PER
4,282.9925520265895,276.4173621333333,PER
5,298.4981066666667,307.40703466589974,STR
6,151.54578044803733,158.66420550116797,STR
7,137.30993154883672,133.77170350195075,PER
8,160.45145925436427,192.71640628368698,STR
9,161.5537328557246,124.59799275664369,PER
10,133.8545862248676,169.71183312688214,STR
11,128.81377505682607,129.59435012730714,STR
12,149.39896949744187,120.012259542496,PER
13,261.3037196591618,247.52652135089014,PER
14,289.7543177291007,283.46898520314534,PER
15,153.46746434949338,209.65708039097936,STR
16,214.39428864367818,163.07549016646072,PER
17,151.3615169268511,153.26235642170542,STR
18,263.523515945736,247.15011959688897,PER
19,291.7107953454545,291.5635076974596,PER
20,303.7721874133333,304.6140148848485,STR
21,314.0602101727671,319.91374976000003,STR
22,319.49062517333334,327.87789863420085,STR
23,324.44358087692115,339.8763886222222,STR
24,322.65947441269844,339.6329000636304,STR
25,,335.63598377451416,STR
