Minisector,RIC,NOR,Fastest
0,231.19609627101815,231.86819968288827,NOR
1,285.11307124419045,279.0918418872688,RIC
2,312.1759126160201,292.14883446349205,RIC
3,325.15327973244695,296.7467391536232,RIC
4,282.7261886945055,264.0022684425028,RIC
5,158.53039215525968,165.62567858604652,NOR
6,254.29704315457622,258.80512174806086,NOR
7,269.27822525096127,273.23141025641024,NOR
8,212.56365887478273,211.87182200702023,RIC
9,216.1592074853665,219.1645629488443,NOR
10,178.8588113456394,178.53411275819525,RIC
11,221.5751060927078,224.58461587631774,NOR
12,202.70348693726217,205.21924116078432,NOR
13,206.01556094107596,212.7096794972192,NOR
14,214.8487462554864,222.6118229862233,NOR
15,177.44086449608398,176.1844968968314,RIC
16,239.94358105244302,253.50333746019447,NOR
17,276.92215798146503,298.2987263861932,NOR
18,283.64897633836785,308.4799782649351,NOR
19,275.16923142564104,292.1880302872475,NOR
20,131.74993031403125,131.7743647334512,NOR
21,162.22019605513782,159.78098473973782,RIC
22,144.67433404651283,156.36703145496003,NOR
23,202.2981788466077,202.93734674868574,NOR
24,143.70216499254985,149.11617738308445,NOR
25,180.56667306666668,,RIC
