Minisector,HAM,STR,Fastest
0,274.6763037028572,274.56225068046894,HAM
1,295.2326100296296,297.1445657859048,STR
2,294.4852819516049,294.80568935045204,STR
3,177.2598541484884,176.2508176486816,HAM
4,121.26536237510452,116.61018292718832,HAM
5,234.36102456752135,234.95265242119825,STR
6,279.6079396292063,280.492086059898,STR
7,293.7339628372671,295.37001687004164,STR
8,185.33997941528693,188.97292526007845,STR
9,147.79774757845888,147.56374762394205,HAM
10,252.30249139301588,247.5113963556322,HAM
11,287.5199305948874,287.22528634962964,HAM
12,298.9414352273593,298.7648286016529,HAM
13,285.6477290850088,280.75459809259524,HAM
14,296.3319230615708,294.00640421189786,HAM
15,296.8067783730388,297.10449642623615,STR
16,259.201978644653,251.06208098410568,HAM
17,235.38953092856192,226.6112240412903,HAM
18,277.8938656096066,275.0555100360289,HAM
19,297.5009246909025,297.11754964228436,HAM
20,302.8183914300047,300.546604312,HAM
21,244.17875941098902,241.51309084980613,HAM
22,264.68307461172657,260.60915435850455,HAM
23,146.1394642134376,147.79615400319034,STR
24,216.72545856067225,207.28224641857096,HAM
25,,256.6312512,STR
