Minisector,ANT,BOR,Fastest
0,273.4786217267829,273.063454228872,ANT
1,302.012378851498,296.3483473389356,ANT
2,317.02992914896663,309.33855545060266,ANT
3,325.1535406105006,316.08103830316287,ANT
4,328.81039180317464,319.6095555555556,ANT
5,330.71730983009525,321.504375,ANT
6,202.10644317206348,199.4247691319862,ANT
7,109.8379988837539,105.79723102768429,ANT
8,192.71669879911897,187.64008112873134,ANT
9,264.203764296092,257.3778359360512,ANT
10,290.66280307777777,289.18706104190477,ANT
11,160.2449609300066,171.35740549635648,BOR
12,94.82655637484356,99.31224268340749,BOR
13,116.86703674563708,117.05438084254146,BOR
14,218.07795797291402,223.34456607022943,BOR
15,189.88159801752124,188.75928850113493,ANT
16,223.75044230095236,224.03987177776253,BOR
17,183.84028606520727,182.3662347690924,ANT
18,233.15541613332482,233.4961904761905,BOR
19,278.09817768493826,275.45703125,ANT
20,242.1605278452827,247.09188091299978,BOR
21,146.74812254245504,148.9982485629704,BOR
22,96.1840079354555,94.84598417197701,ANT
23,122.4569670826392,123.2837495400334,BOR
24,222.7525174887157,217.50754753939393,ANT
25,,254.91354266666667,BOR
