Minisector,PER,TSU,Fastest
0,295.0919094648039,295.4778027701888,TSU
1,163.7844296701039,157.2813838103534,PER
2,156.09602221598618,153.16085630202127,PER
3,223.31194418154442,225.17152236190478,TSU
4,285.800550466905,287.92373844821594,TSU
5,293.49253662710623,292.8923069538462,PER
6,149.68121523781906,145.59171452278443,PER
7,142.89747687978632,142.463083262841,PER
8,146.33749920106442,147.2800967678517,TSU
9,181.6861572522067,174.70889074780482,PER
10,131.62142551025863,132.35298557453976,TSU
11,131.02957066148863,128.2624079371662,PER
12,166.83584693810937,163.61024127592594,PER
13,268.34547704397744,269.6256450548605,TSU
14,290.2733466675111,293.2191667626667,TSU
15,153.68074733974873,153.5957839020408,PER
16,214.87273410455987,204.85304014414413,PER
17,164.70468574833328,171.99424242392027,TSU
18,268.0762108124137,273.61308227567184,TSU
19,291.4435898666667,295.29100014933334,TSU
20,305.43113247593055,308.8938048825293,TSU
21,313.3581349079365,316.66576092753627,TSU
22,315.9961956637681,319.80850697777777,TSU
23,316.63888893333336,322.54867427878787,TSU
24,313.601948000303,321.116269784127,TSU
25,309.0,,PER
