Minisector,BOT,OCO,Fastest
0,265.85313983917,263.4464423883422,BOT
1,132.64810804272074,125.25379858083234,BOT
2,190.8997932464473,196.53593351303692,OCO
3,243.75711251485163,246.8445494996683,OCO
4,263.5838709578589,259.44451921379425,BOT
5,180.66554935587445,170.09047679999998,BOT
6,148.1370640546215,139.8488961433954,BOT
7,178.36121414016776,182.1446056055322,OCO
8,105.20187160171066,102.90476983424813,BOT
9,77.83307537712385,73.37096645757187,BOT
10,92.23332940912485,94.29561882639591,OCO
11,167.63527858588208,178.1985392877548,OCO
12,240.85249962666666,245.4385529339279,OCO
13,269.10986191826885,271.0755046362055,OCO
14,281.19314210504433,281.0437978139194,BOT
15,129.20753545432248,110.32335107754302,BOT
16,122.42780096377828,145.16926739846346,OCO
17,191.30124790634102,182.41059147282493,BOT
18,184.75286137928498,192.77100886660455,OCO
19,224.15087317585602,206.35039611540827,BOT
20,132.0220034364532,127.94541383695228,BOT
21,125.87665131755179,111.12393188303243,BOT
22,86.81837839595799,92.20577906018002,OCO
23,185.44616120701755,192.09489659084227,OCO
24,249.66533532322464,251.25992672823432,OCO
