Minisector,GAS,BEA,Fastest
0,274.1010799162134,275.261686188176,BEA
1,118.10497141013326,125.72208120218143,BEA
2,163.81471088435373,160.70066235978848,GAS
3,196.79913601928004,202.16325494438584,BEA
4,163.88082010582013,156.32273345098287,GAS
5,237.08920373046678,228.18165961645346,GAS
6,190.3188023088023,200.60516859741622,BEA
7,134.53667613217428,128.18928401470149,GAS
8,237.46006728778465,236.58419856700337,GAS
9,285.4418650793651,280.94682276179935,GAS
10,279.8534126163823,284.77069264069263,BEA
11,148.44763611895482,148.4369319386174,GAS
12,225.55246183231395,212.6537385439728,GAS
13,278.9879365079365,273.2851069848388,GAS
14,259.5158547640211,272.1318396001511,BEA
15,100.97221361612029,99.11965664114088,GAS
16,225.90309558179894,217.5484979936116,GAS
17,295.0698979591837,281.9626776912122,GAS
18,316.8912685526842,308.7968649244445,GAS
19,325.2020238933334,310.9585317460317,GAS
20,327.98125,303.46354878185946,GAS
21,257.811135495982,289.7903363467513,BEA
22,145.29055324781675,159.3714466195306,BEA
23,236.84497937496167,221.990575413467,GAS
24,283.14347625433,275.9831932773109,GAS
25,298.0,281.890625,GAS
