Minisector,ALO,VAN,Fastest
0,297.05251435503084,294.1003607652174,ALO
1,160.11217731512755,155.1585739531888,ALO
2,153.15567752307572,152.382298332693,ALO
3,220.69637258291158,219.23029727422002,ALO
4,282.26829732173917,282.0891835221519,ALO
5,289.26913013333336,285.49848365714286,ALO
6,145.63281224086762,144.55192298007412,ALO
7,136.92277575192043,138.43469790751314,VAN
8,143.67488752437404,151.0550436503411,VAN
9,179.3945577185185,172.2932930522774,ALO
10,133.53323212030156,130.51831468698236,ALO
11,123.03265015422205,125.67263773763716,VAN
12,162.11037713849728,158.0775140394646,ALO
13,260.5255420127336,262.42954181681233,VAN
14,281.93612818550724,279.1323499991718,ALO
15,151.22291142945735,148.45034005144407,ALO
16,209.1152096536471,210.3038043957889,VAN
17,162.58277608849184,157.20572737034527,ALO
18,261.5236992834393,264.2875436303378,VAN
19,284.73505391595336,286.9675210222424,VAN
20,296.9735416533333,297.7943179151515,VAN
21,304.20218245079366,306.1462080613129,VAN
22,309.6618788671607,311.82416656,VAN
23,312.31689351836735,314.5788094628571,VAN
24,309.4328505979668,312.57976203174604,VAN
25,,311.0,VAN
