Minisector,BOR,LAW,Fastest
0,267.8937841542562,269.11819042432745,LAW
1,287.0344276355556,287.35280225269844,LAW
2,291.90977564024604,292.50398207910365,LAW
3,133.32571965748164,131.32097823553633,BOR
4,195.98449907386396,193.99449039269075,BOR
5,253.66014657923097,254.4285103784874,LAW
6,139.99204475259637,143.14617911344672,LAW
7,207.9056748608919,205.55494381716494,BOR
8,258.1654840674143,257.07293730538163,BOR
9,277.3316762772161,279.9237023885714,LAW
10,235.37428795292234,239.9116735380269,LAW
11,187.0982578143818,180.14398201311616,BOR
12,194.5774187066481,194.8089876938528,LAW
13,144.7640537532581,137.8282761607198,BOR
14,173.55982241289607,174.2150146303446,LAW
15,166.40396375891828,164.74599204981683,BOR
16,221.48235850596993,222.01128707434617,LAW
17,236.13471265904764,233.95582796467534,BOR
18,242.91244294603175,242.0440086517749,BOR
19,246.99841541624113,242.55068984533332,BOR
20,141.82462917288515,142.62893408750486,LAW
21,130.05098510578213,130.30440743345042,LAW
22,170.73318975719994,170.3714353928751,BOR
23,152.75665644570708,154.37310427526882,LAW
24,229.86932802857865,230.68105488390626,LAW
