Minisector,HAM,VER,Fastest
0,312.2283452111271,298.42018262692227,HAM
1,217.20994620069266,205.75761038547978,HAM
2,217.8733288509807,223.5805561251299,VER
3,271.5708245222071,277.75614666795315,VER
4,249.71775629205433,249.77270013676767,VER
5,122.15322697755481,127.19013733908548,VER
6,192.6666569281385,199.2869395470298,VER
7,244.95706211208488,245.15434497634232,VER
8,233.45165067542857,232.02414303170752,HAM
9,237.1896915817045,240.05271874632035,VER
10,287.7554374285022,287.79355346398586,VER
11,309.87578018526983,310.18286398043847,VER
12,321.90751305869225,321.3880384580499,HAM
13,319.1726887958095,318.2522427303599,HAM
14,306.61118407314285,309.84481443924966,VER
15,250.4609167585547,250.09773403404165,HAM
16,239.89093746742856,234.0882164932467,HAM
17,276.44305594074075,278.7610998839766,VER
18,289.1883292725019,290.8154133480031,VER
19,151.24198799653018,163.5332275951664,VER
20,195.36775354759726,197.49143476769729,VER
21,177.09512128227067,188.1596144126364,VER
22,134.63641753586165,127.82045936915085,HAM
23,230.23696496604487,238.4828343697733,VER
24,291.0896583569675,293.0801770662434,VER
25,305.1000009142857,306.5892854857143,VER
