Minisector,PER,RIC,Fastest
0,262.4482090806734,263.54942895336586,RIC
1,137.79127154127156,137.4504715914144,PER
2,265.7259196943017,265.5475076410661,PER
3,306.4120999832381,309.68400494808304,RIC
4,306.3172004598353,310.17255607230567,RIC
5,314.65152259482096,319.3021634477682,RIC
6,317.45418576980745,331.7062329702561,RIC
7,317.10282118888887,341.77786041724687,RIC
8,208.65333461133076,194.97895473709573,PER
9,208.01271009950736,196.30565077090773,PER
10,194.86278064088202,181.7178440443525,PER
11,184.54334948669108,171.30938091695097,PER
12,256.5613464876987,248.53721154867324,PER
13,285.334853987483,267.5182632409628,PER
14,286.68059053961497,278.00779006649657,PER
15,283.85641182365595,265.0173835644705,PER
16,189.55658883779336,171.60509245370875,PER
17,198.94581966368506,192.2072633260767,PER
18,246.15318881887254,245.2782078361024,PER
19,289.09821930926324,286.6847370783261,PER
20,304.6614025366598,302.8696179207606,PER
21,310.81722755897437,307.36608972034185,PER
22,308.35862580470024,305.1875110211515,PER
23,255.05640797341152,230.81339192279364,PER
24,128.89309860727425,120.65877676477382,PER
