Minisector,STR,OCO,Fastest
0,308.9109821259761,320.6057869748148,OCO
1,204.1892292515679,193.33850298469136,STR
2,135.21665878567177,147.12018602411896,OCO
3,221.35699445575827,213.2489795047619,STR
4,160.40917217449118,157.35664665128604,STR
5,181.24906005597407,189.34161534728023,OCO
6,257.6195943324174,255.18247536187175,STR
7,282.30541658666664,280.71519072929294,STR
8,290.34120240698525,286.022375104,STR
9,266.03728144308565,263.20615772070175,STR
10,253.33283686792566,251.8647682465185,STR
11,239.258745579038,229.78164674165413,STR
12,221.23703358807455,191.89348922243246,STR
13,134.08091698133939,127.91467521258434,STR
14,145.50588324398922,130.7141554647075,STR
15,168.7948622062835,192.6907704115023,OCO
16,254.06429315238094,263.1049262195489,OCO
17,249.6890359635418,224.70328840399642,STR
18,110.92252632525442,111.9840225881344,OCO
19,191.661168638677,211.5963263462732,OCO
20,201.78501503449596,194.23003453333334,STR
21,237.70281119539754,241.10427284367753,OCO
22,276.1191782380247,280.3814496914286,OCO
23,302.2046783015384,300.0552835200355,STR
24,320.1583455454125,315.86302320798035,STR
25,326.44545454545454,,STR
