Minisector,RUS,PER,Fastest
0,249.22798026869978,244.06300834690552,RUS
1,286.4059398690909,281.25199186463493,RUS
2,162.51021914266875,192.42798044940804,PER
3,162.09155814837837,151.51777342546274,RUS
4,256.9855771081674,257.3829027957357,PER
5,270.0832304619706,274.09305897562456,PER
6,226.86364209723357,240.20951051984804,PER
7,209.66118245624472,207.78288657607916,RUS
8,164.31109597418077,159.77868302331422,RUS
9,219.99552183709005,214.60756114472716,RUS
10,275.1685119236117,269.7147132333333,RUS
11,131.92255467900816,134.46577647527647,PER
12,212.70709382861244,213.98693060035657,PER
13,279.31414626438095,273.9423026668513,RUS
14,301.26951476680796,296.3744286648575,RUS
15,313.12373104,306.8057967541418,RUS
16,246.8527797132446,237.33075872157536,RUS
17,130.93042514834514,133.71785042958595,PER
18,128.33707062614957,126.9512859426287,RUS
19,119.34781661014937,118.95872659637506,RUS
20,220.808433839095,222.6426025765751,PER
21,254.0626515801975,259.9720589202962,PER
22,244.35902265188776,240.1042757856508,RUS
23,218.36502656796534,218.05019268976088,RUS
24,141.68132457601155,140.47757881095544,RUS
