Minisector,NOR,GAS,Fastest
0,311.75462846850434,289.1583538578413,NOR
1,327.4310186074074,297.7338241896649,NOR
2,328.0575178734556,302.2067460063492,NOR
3,319.58045202889855,302.2995628350877,NOR
4,171.99974581010102,175.42891587878788,GAS
5,208.69007479756837,213.0866484946292,GAS
6,237.7129968,235.2681874498486,NOR
7,263.8357957333333,262.53183642588914,NOR
8,248.87065719999998,260.2239139710145,GAS
9,165.42113945644905,163.66432185855444,NOR
10,226.2667996953677,230.25142747156067,GAS
11,130.99049933599855,134.31131312757336,GAS
12,225.6942394575238,227.45705062564105,GAS
13,184.53313477048545,194.09855802673397,GAS
14,217.45185347160495,216.99580263221208,NOR
15,246.17328344579025,248.54580892851297,GAS
16,265.7536855510204,261.4957555659303,NOR
17,282.3988096507936,282.53306540952383,GAS
18,159.7280100034962,165.83642430955334,GAS
19,169.9244716812941,170.0230082016046,GAS
20,141.39889913142855,144.88154750117462,GAS
21,161.07559739304773,166.5988749983935,GAS
22,114.46197812456174,113.63048003930129,NOR
23,222.27165926446884,218.42747177142857,NOR
24,269.94019974970956,267.42845607251735,NOR
25,283.5875008,282.04166613333336,NOR
