Minisector,HAM,PER,Fastest
0,262.8482457263158,262.70434319548997,HAM
1,296.9365170579788,293.1993788150591,HAM
2,310.8209328,309.98395783829596,HAM
3,319.64974598165793,321.55972246349205,PER
4,324.5854166857143,328.6579298240325,PER
5,327.44481299591837,332.4982144,PER
6,282.46176269803925,285.441403,PER
7,116.6571866504602,111.51865333532479,HAM
8,149.7217455311629,148.43960590541852,HAM
9,251.04890414035086,249.4888904888889,HAM
10,288.72526073333336,286.27591205,HAM
11,231.25467476049403,242.53166933024963,PER
12,93.94797403424116,91.95371276103796,HAM
13,113.39396004484925,110.65617607667214,HAM
14,214.50357211428573,214.08646738912543,HAM
15,196.1744285927619,185.39772434330544,HAM
16,222.96570234198708,220.4892852825397,HAM
17,195.5388888888889,188.87878216222109,HAM
18,221.42434457142858,221.45236567582566,PER
19,271.8230393098039,274.00802008375894,PER
20,289.50946714626565,290.30501697451865,PER
21,155.8471288275862,154.4662501688889,HAM
22,102.76497128887652,101.33954625582388,HAM
23,123.75450372612613,122.35628855092395,HAM
24,205.3366496015959,204.69546941614905,HAM
