Minisector,PER,NOR,Fastest
0,302.15717588148146,305.92914760083937,NOR
1,249.50503154714315,232.20240702939958,PER
2,140.8478406890479,130.54769835632527,PER
3,219.44225071637405,217.417833216,PER
4,265.31432513372295,264.78578947368425,PER
5,290.12499976296294,288.94473678596495,PER
6,303.66064859259257,302.7046296296296,PER
7,277.0922622678848,279.4089473684211,NOR
8,185.1457819505863,172.05801713809524,PER
9,247.1452399238095,239.4679077250479,PER
10,277.0095116494623,273.4891666666667,PER
11,268.9724078943882,263.98833333333334,PER
12,215.71483323733332,202.71043584624647,PER
13,134.7201892020364,124.387320317165,PER
14,129.54633823206927,119.489916119927,PER
15,175.24741599868082,163.620974836187,PER
16,127.53222354636063,118.57686954141948,PER
17,232.2361063404939,225.6635868289855,PER
18,191.0186381453277,180.23044624285237,PER
19,167.4222860810545,161.45367265595013,PER
20,249.16944365714286,248.78636363636363,PER
21,276.9391696679929,278.40813518682944,NOR
22,291.79421009634,294.2031862588235,NOR
23,296.8173941333333,302.8460784313725,NOR
24,300.7029411764706,305.78771929824563,NOR
25,300.3666666666667,,PER
