Minisector,PER,RUS,Fastest
0,289.44935696605796,287.6989599613518,PER
1,300.43806560253967,299.2642946285443,PER
2,306.9164931259259,303.384603290236,PER
3,308.0173608177778,304.00879194980394,PER
4,191.01646146873176,192.61492318680575,RUS
5,214.44377893084092,214.63106755350333,RUS
6,264.985454017974,264.00362644173913,PER
7,270.5039359839286,256.21837500337386,PER
8,189.56026337038776,179.24009363946277,PER
9,155.96498331418297,152.26880437966383,PER
10,183.56639168864152,180.75570968561593,PER
11,257.54360801941044,255.42707244071738,PER
12,266.030166048,250.9537703628604,PER
13,231.22642501425383,223.3180183253157,PER
14,267.70397227644906,265.7635898149513,PER
15,164.645973398139,167.57087334954872,RUS
16,222.2879358184153,208.42040697944526,PER
17,230.50205241713985,237.63881873560092,RUS
18,135.75548665619922,128.55952448338624,PER
19,240.82246791040984,237.92618665928853,PER
20,277.44838452390024,274.6626460744589,PER
21,248.9562965782047,257.8094462935235,RUS
22,144.01680988932586,136.8569955590402,PER
23,212.18664862476464,202.55733156017283,PER
24,267.9760353890909,265.9272234310942,PER
25,,280.75000177777775,RUS
