Minisector,VET,STR,Fastest
0,279.480777340056,279.38102085925925,VET
1,118.49873034185464,127.33315087471861,STR
2,162.54367114757613,158.68996702265488,VET
3,215.60170385454546,217.81270349357698,STR
4,161.00097403504734,159.6919943767431,VET
5,245.80597650526315,238.36124604310777,VET
6,203.73623021449274,205.4281097606625,STR
7,136.07319604761904,135.61965896246497,VET
8,235.43500016,229.62038471619047,VET
9,279.98727688571427,274.2629986621071,VET
10,283.07352847058826,283.21927213333333,STR
11,145.76060337618694,147.24474928178515,STR
12,222.4405299016785,219.37454479092972,VET
13,275.92708319999997,268.1468063739909,VET
14,271.50952380952384,266.70397123929075,VET
15,100.86050989922958,101.39756577797532,STR
16,220.49488055037315,210.09014962424243,VET
17,274.5125701539077,265.7297803819905,VET
18,302.76666666666665,290.3508028951221,VET
19,316.32787115684584,300.51015866920636,VET
20,323.83166656,300.12083333333334,VET
21,297.44444444444446,279.3615231372549,VET
22,157.66979121292925,152.87262387036193,VET
23,241.46224850125313,230.04107006984128,VET
24,285.89328861122357,271.27765371895447,VET
25,299.71249919999997,280.02142811428575,VET
