Minisector,NOR,OCO,Fastest
0,298.6293348646191,293.07321443809525,NOR
1,234.47191650126624,237.6620269429277,OCO
2,191.6955827399571,189.1260976697992,NOR
3,263.0497393306183,259.41857064579506,NOR
4,212.42846254483234,222.61767737081593,OCO
5,106.9007689762649,111.05448351599968,OCO
6,165.19114213864125,164.5788068222794,NOR
7,255.67809364609053,258.629098557594,OCO
8,288.37636748279994,286.11580914034613,NOR
9,304.45404367394383,302.1756779168831,NOR
10,307.34275739064066,304.4894719897484,NOR
11,211.8631838063492,224.71159543043578,OCO
12,136.45776135995283,134.597783096489,NOR
13,250.9976455107664,250.19688496188903,NOR
14,289.6461508992,286.96717032558047,NOR
15,301.9546928517246,298.6350000510145,NOR
16,298.1575776758592,291.4253119877268,NOR
17,257.55820608410255,253.83579262124542,NOR
18,176.0233409592216,178.36442611746713,OCO
19,169.97982890930356,180.46366876330242,OCO
20,170.7200462376088,168.19397416251132,NOR
21,239.8199271185348,241.44069542901565,OCO
22,113.57215705652409,119.95850782266001,OCO
23,190.68946070069197,183.46774720377047,NOR
24,275.9631678639746,271.14566035807894,NOR
25,,286.0,OCO
