Minisector,RIC,GRO,Fastest
0,288.035869542029,283.8154586135642,RIC
1,306.19044100315995,300.56983740641834,RIC
2,302.1220455527605,297.91870595192745,RIC
3,183.4948911674525,182.46021628698008,RIC
4,223.97395855238096,221.79486169799452,RIC
5,210.7720235159946,199.36251957972348,RIC
6,194.94907306229737,192.62449456416437,RIC
7,215.79035273315907,210.33213763769447,RIC
8,259.418403253068,254.862819173565,RIC
9,264.67762173828953,260.2769093333333,RIC
10,173.4173842558101,177.5412400088033,GRO
11,239.70227739682662,239.49759991411935,RIC
12,119.06433340871347,117.23543660484445,RIC
13,228.37566258906529,227.91014896583513,RIC
14,275.66313791583053,273.74548644444445,RIC
15,282.77559517229435,286.0350423920522,GRO
16,211.79841370365335,207.05909622807954,RIC
17,187.265910376912,180.35422027771705,RIC
18,271.3184858189376,265.66570881987576,RIC
19,296.81309556825397,291.13107290167017,RIC
20,308.334390664492,303.66221351740234,RIC
21,307.91249973333333,302.5238095238095,RIC
22,270.00543147220816,264.27320869470554,RIC
23,118.27399146283175,114.2767993793648,RIC
24,243.45142226390422,238.80789632406348,RIC
25,,269.9555555555556,GRO
