Minisector,ANT,HAM,Fastest
0,285.42989293252526,298.37089667540783,HAM
1,292.72037033086417,306.3542823407408,HAM
2,244.97873723980186,242.37439470419014,ANT
3,122.99466022552889,121.7373949882017,ANT
4,127.62331136595566,135.60323249876262,HAM
5,252.04480089216932,253.99942829555553,HAM
6,268.7164326189899,262.6198356065801,ANT
7,126.39144341642158,128.68989407781842,HAM
8,250.3817781516883,241.0930678168116,ANT
9,256.4795269953674,248.99109105200577,ANT
10,214.6340009756499,216.84175744780256,HAM
11,151.7047285736341,142.5555988630088,ANT
12,194.26945464224664,199.10767638285714,HAM
13,255.6774873568007,257.6701725239159,HAM
14,124.1788180416055,120.79867686690098,ANT
15,180.7658730414781,177.85496762074305,ANT
16,261.13108808347823,261.2587741503381,HAM
17,309.59850519293445,305.1467027666763,ANT
18,319.8139353952153,318.3647032975018,ANT
19,313.5972782667862,311.899117438876,ANT
20,307.87177228590826,306.1463391847619,ANT
21,218.5970792347386,197.29720239492352,ANT
22,134.97387323942888,125.87859570518782,ANT
23,191.01165446619072,192.38627800771636,HAM
24,236.07383971878494,225.9120901769309,ANT
25,275.26000128,280.36499968,HAM
