Minisector,PIA,LEC,Fastest
0,265.28141422603176,260.5184936886131,PIA
1,128.51328080352368,131.83842425218248,LEC
2,269.21036033352954,269.85940317633475,LEC
3,309.7587873870222,311.1957720639821,LEC
4,309.9842158692634,309.7745289999724,PIA
5,318.1068576740741,318.3899538687227,LEC
6,321.7318804875953,323.5836096764022,LEC
7,323.79041674666666,322.5672,PIA
8,207.39833550213098,198.64149888673626,PIA
9,205.21819333433973,205.68568285940796,LEC
10,183.72293504038095,181.10029530173136,PIA
11,177.65257183202618,172.61110648550044,PIA
12,260.90049782652017,257.10972193907526,PIA
13,285.4954483075057,285.1047525253994,PIA
14,289.52743444996634,286.5832967348694,PIA
15,280.2491628232417,279.0920545385104,PIA
16,174.11882506135643,169.89860434411415,PIA
17,203.09663681519945,197.8307918247471,PIA
18,252.2693155661612,249.59014292358424,PIA
19,294.2863159398429,293.27324058662936,PIA
20,312.79918243959634,311.4016333241684,PIA
21,317.3132608556522,317.779029265348,LEC
22,315.0841150770794,316.17299565215586,LEC
23,257.4264329829481,273.62394047557603,LEC
24,120.26167015727673,118.79779895050802,PIA
25,,232.34999679999999,LEC
