Minisector,ALO,PER,Fastest
0,297.90639228799273,297.4343625535353,ALO
1,217.11934875943413,217.220113400685,PER
2,229.0540914499734,230.59439611989023,PER
3,276.8397590499766,276.53748987716307,ALO
4,255.8835579302603,250.04877072494068,ALO
5,124.30794168354858,132.90291500151497,PER
6,215.02034943472316,204.8404853186977,ALO
7,259.8685587790505,256.88269222890267,ALO
8,246.45405994314464,262.27974260016896,PER
9,244.00429489631833,243.90101773253247,ALO
10,275.0069468073439,276.97641807306485,PER
11,292.22218067555553,292.8618485370804,PER
12,299.81751491742,302.20521922585857,PER
13,301.7314044337397,306.8796597645875,PER
14,297.4502138377335,307.7229164686869,PER
15,254.8498521138189,275.8517119745992,PER
16,244.766862488658,244.668735322402,ALO
17,279.63676206560535,278.03163741714286,ALO
18,287.1603615425837,291.518974609858,PER
19,161.66598786574755,163.32302369892292,PER
20,210.96600402068026,209.4518848031036,ALO
21,188.68841130091604,205.46797336322138,PER
22,145.59559190554305,137.4315742903783,ALO
23,242.79787736684145,234.5415548364316,ALO
24,283.46329660709506,284.0443849258297,PER
25,294.8214290285714,295.6583338666667,PER
