Minisector,LEC,SAI,Fastest
0,273.3565139003752,274.4631002892379,SAI
1,250.72682185043476,248.13347011844155,LEC
2,122.30797065502398,119.4471935371956,LEC
3,174.35562867642858,174.3447470919882,LEC
4,195.50861479801858,190.08453641566138,LEC
5,199.32146725583814,202.66384038238078,SAI
6,264.80980141714286,266.9286110577778,SAI
7,286.9132007017544,288.3250676941302,SAI
8,245.54214405547725,231.51100242705314,LEC
9,151.83461371020474,144.29842125341395,LEC
10,121.13830288158762,124.37454692073987,SAI
11,164.41183676765868,164.4328316402837,SAI
12,246.54561136900432,249.82677826714843,SAI
13,153.7658150859011,157.0064580017778,SAI
14,138.2792694467668,148.79035433025345,SAI
15,107.1295772529445,106.64672872891153,LEC
16,212.5663378697143,224.17552028024843,SAI
17,242.5296306415054,240.8213138095238,LEC
18,129.65732149867245,129.23594651668188,LEC
19,235.60427180215873,244.08599801131814,SAI
20,275.78185292631576,275.6433640701387,LEC
21,195.2618081021744,198.04189900152852,SAI
22,145.40406075928038,168.27911806578174,SAI
23,218.5541722294906,221.87868057489177,SAI
24,230.64438852571894,235.27489903666876,SAI
25,258.703124,,LEC
