Minisector,HAM,PER,Fastest
0,269.16840511154084,269.34379598814814,PER
1,290.9562406520301,288.3089663851583,HAM
2,293.48869756564795,291.03768579950616,HAM
3,123.34380866018894,126.91193873026306,PER
4,189.78634536093088,199.9779513013051,PER
5,252.13519425777775,253.53890716248733,PER
6,137.49329485259184,138.30586547198627,PER
7,204.26793955192747,206.15322790851937,PER
8,257.6761849619753,259.8616650173243,PER
9,281.8424574106164,279.9373109593277,HAM
10,232.3810936632847,223.87362651499132,HAM
11,174.72751534370724,181.27087804285472,PER
12,189.90513385752942,189.9633069202101,PER
13,140.51331720589346,132.88927217134668,HAM
14,174.42407827716673,175.87159575228398,PER
15,158.76293083520045,162.68310552883895,PER
16,215.20923107740262,217.17755014836362,PER
17,228.21326722010855,233.36184436148147,PER
18,234.32625022803848,239.62845984907827,PER
19,236.72241345890512,234.2731335679693,HAM
20,143.2049027427787,146.81115337678412,PER
21,130.00048391462755,139.07598510065216,PER
22,164.04450452622223,169.04178985510674,PER
23,150.2350676625591,150.32556761922535,PER
24,223.0889970438277,229.34096978166428,PER
25,,256.35499904,PER
