Minisector,ANT,BEA,Fastest
0,273.63157894736844,271.580481399944,ANT
1,125.15070808820809,123.53055702329146,ANT
2,163.55902871075284,163.4449149103705,ANT
3,206.5597866419295,198.73060192669874,ANT
4,174.28955314009661,158.49962993650013,ANT
5,238.5459001782531,230.50803712458793,ANT
6,208.619099378882,186.58497635126238,ANT
7,138.20876176510467,130.83977552307402,ANT
8,248.21969507101088,241.90376560561808,ANT
9,285.17712053571427,281.61996385753315,ANT
10,282.8267448849713,278.01424751718866,ANT
11,157.96724644403216,146.0342569698542,ANT
12,225.86421141134002,223.80773524720894,ANT
13,279.1001400560224,275.35352803747037,ANT
14,258.32450980392156,256.9780505314559,ANT
15,104.61468896156924,103.45269217125642,ANT
16,236.26248487102194,236.52738095238095,BEA
17,295.91898577612864,289.87787845975663,ANT
18,313.7619658119658,310.33413925396826,ANT
19,322.8232353338562,309.44637896825395,ANT
20,325.64930555555554,302.20642579011337,ANT
21,297.09236633249793,250.549906655422,ANT
22,159.61681983427872,156.4795972766677,ANT
23,244.00773809523812,242.5505455112605,ANT
24,283.2798941798942,279.7221638655462,ANT
