Minisector,ANT,GAS,Fastest
0,320.17039247686273,321.4198529611861,GAS
1,323.9419358127242,327.01813632717085,GAS
2,161.66640293208158,160.42738094386885,ANT
3,159.3477954855914,157.6957107794217,ANT
4,194.22609011343448,195.42495768776013,GAS
5,149.63467008977483,142.98739617001362,ANT
6,206.2544232442081,190.8810168868547,ANT
7,272.2895687169925,270.4217858941414,ANT
8,289.70368407578945,293.2796875761905,GAS
9,278.7137072643386,288.91657522929313,GAS
10,237.6182143674459,236.00101324211752,ANT
11,247.2904793457733,238.16830130133994,ANT
12,225.8861210427211,216.1663441149271,ANT
13,185.74964730166656,181.2973861997558,ANT
14,138.70634719798144,125.8988858501365,ANT
15,133.41608617363485,127.03874558168778,ANT
16,197.29916379171726,184.76982679977414,ANT
17,269.4371289502786,266.740452096,ANT
18,198.93589049263156,213.2449297408,GAS
19,110.09296360173407,109.08415509244848,ANT
20,206.67161573714284,192.25720182238783,ANT
21,183.42452413714287,176.7478894903154,ANT
22,245.73947459368424,245.14630757647058,ANT
23,278.96621904792937,276.43348276735037,ANT
24,310.16656978225956,304.1580127396686,ANT
25,323.76500096,315.54250048,ANT
