Minisector,VER,GAS,Fastest
0,291.0999117810278,289.1583538578413,VER
1,300.9358928533333,297.7338241896649,VER
2,305.2087718736842,302.2067460063492,VER
3,307.33450781860483,302.2995628350877,VER
4,189.34345356039913,175.62659482352942,VER
5,224.9692073142857,214.23245029072658,VER
6,253.47087792338354,235.92345995185468,VER
7,272.65062333242633,263.5477455167982,VER
8,268.06008160360386,253.28715382222222,VER
9,177.2413692414566,163.63354047165603,VER
10,239.77348738337233,229.81504958438114,VER
11,143.64731474657376,135.5212830170982,VER
12,232.44103934688073,231.62449945600002,VER
13,202.10716335238095,190.72102464102403,VER
14,227.4622713903916,221.77467876923077,VER
15,259.0855071536232,248.30223351204714,VER
16,270.9980438784581,263.42700205529076,VER
17,286.71239104961137,283.0193154361905,VER
18,170.87389597605443,159.15775282659442,VER
19,176.1535261188551,172.8254595270948,VER
20,151.11058453004568,147.26977639822778,VER
21,178.31489907070707,163.9675223323452,VER
22,120.49017599724503,113.80820161915688,VER
23,224.9999714016117,225.59190423161905,GAS
24,272.12803221768706,270.80557163285744,VER
25,284.6749994666667,,VER
