Minisector,LAW,HUL,Fastest
0,288.6241506865359,298.76208661333334,HUL
1,294.34830507774893,301.9378840647037,HUL
2,153.17403577998093,148.6111467927778,LAW
3,220.85106472568665,222.93643777601434,HUL
4,268.19302005491653,280.45586180190475,HUL
5,289.4980530800907,307.73229200000003,HUL
6,300.31959827918365,319.3014717501141,HUL
7,164.64994480134024,142.21417233713026,LAW
8,132.88573066231743,128.3132540783651,LAW
9,248.51355840870747,252.8048784846561,HUL
10,282.5141237825878,293.88110460340226,HUL
11,288.37896714120933,304.94914295529406,HUL
12,134.63646557745523,139.46454702246692,HUL
13,199.44573404059403,193.32500142671938,LAW
14,256.8422677291775,255.56687525164023,LAW
15,192.78665575800397,199.08541641997547,HUL
16,213.41614218672206,215.894589395671,HUL
17,208.33030331486984,204.81184540054122,LAW
18,241.1629743751959,239.13127369580246,LAW
19,273.6786581727273,275.58006004888887,HUL
20,290.79893526716046,290.3820793652288,LAW
21,254.96044066730462,249.66211440104576,LAW
22,214.49050448654162,216.0408756291209,HUL
23,196.8803676517755,202.62173141185187,HUL
24,261.0596276306173,262.22556769684206,HUL
25,,279.95760552653303,HUL
