Minisector,HUL,SAI,Fastest
0,250.16516877366743,250.91049525652218,SAI
1,283.17166682666664,281.78729130666665,HUL
2,164.33270789526512,169.60284408353172,SAI
3,166.27378647009428,167.06996562367164,SAI
4,253.936418008658,254.906952595671,SAI
5,265.40978188535564,267.3696067663534,SAI
6,226.7709622645722,222.47517701305114,HUL
7,200.25952724648485,201.06265443983014,SAI
8,161.34220816065425,160.28621121893502,HUL
9,226.10736182748815,224.30842609894768,HUL
10,268.91176314920637,270.55738632727275,SAI
11,127.24012777799298,131.4269882681679,SAI
12,215.74411219613242,208.8449219886432,HUL
13,276.4906928554112,275.66057167528345,HUL
14,295.51562512,296.38755459436703,SAI
15,301.9255314118689,304.4635964631579,SAI
16,227.71083277296472,244.30904098445205,SAI
17,129.77678287565058,130.46796514967863,SAI
18,131.80945235934206,126.6839690859312,HUL
19,120.01694562643344,119.62226380872853,HUL
20,221.07993864691358,215.5679316833937,HUL
21,252.4735902763268,247.1188395594203,HUL
22,225.5688265876543,237.8107686206239,SAI
23,215.8010628022496,214.6605407806093,HUL
24,136.52413566958845,135.236944017316,HUL
25,216.24875948219207,218.33194097777778,SAI
