Minisector,BOT,NOR,Fastest
0,255.55645892491577,257.12821594525565,NOR
1,217.8336614529765,215.21088249915928,BOT
2,204.81664996376418,211.6397770006499,NOR
3,260.0560110585727,260.53443721285385,NOR
4,275.05729003547685,274.2883250370899,BOT
5,286.00471012173915,280.1641304115942,BOT
6,165.24589353147536,167.19632385284226,NOR
7,183.40510890368554,189.89390736987698,NOR
8,266.80836284749597,268.28382299188473,NOR
9,292.7298622153799,289.0406545444452,BOT
10,303.88154608579504,295.3314308028919,BOT
11,303.592919833173,290.12864437046926,BOT
12,115.96478136524595,116.86867277620918,NOR
13,188.1515493447407,195.11601334915918,NOR
14,270.452576856222,270.9269796805947,NOR
15,295.22076175105246,291.356904731646,BOT
16,297.0879726259605,287.4725027415071,BOT
17,192.2225827615218,181.66007651624753,BOT
18,227.1771853000885,226.29377908649332,BOT
19,269.91597994530895,264.15197276770766,BOT
20,152.997526957232,157.460961281107,NOR
21,148.96961397954567,152.43534000573598,NOR
22,224.14631887307291,223.57053745549572,BOT
23,228.51185661872253,228.79895819862534,NOR
24,160.57896131125824,164.1480099044242,NOR
