Minisector,RIC,GAS,Fastest
0,281.9042565883454,283.73920494545456,GAS
1,292.0035716063492,298.1104165333333,GAS
2,294.7914583466667,303.6355159873016,GAS
3,288.6519923478261,307.01666672,GAS
4,238.17715939204612,251.70075110545142,GAS
5,190.16003868076598,188.738884688262,RIC
6,255.5243542955706,255.06790967708022,RIC
7,276.00081172640694,281.04020112384,GAS
8,205.60006229274234,202.96555615999998,RIC
9,203.56666286695477,211.80782029119413,GAS
10,139.3751533895216,139.23695772666392,RIC
11,245.5433273636594,244.64566990057457,RIC
12,270.1558133588458,274.61475343769223,GAS
13,217.6724402616362,219.0196739006084,GAS
14,258.3906273518278,261.969047115528,GAS
15,217.28670441925922,225.71866156190475,GAS
16,183.51563470829223,180.64390297060518,RIC
17,256.5774151136125,256.2238193808965,RIC
18,151.41361287971904,145.85409137644467,RIC
19,210.5594259086221,210.59775635730202,GAS
20,270.14505684813423,271.8547020419048,GAS
21,288.589430092921,290.81439890942613,GAS
22,160.05656013061983,160.23545410123634,GAS
23,181.57997064575568,177.9650665581123,RIC
24,257.27478747911675,256.5094208162519,RIC
25,273.8,275.72500053333334,GAS
