Minisector,BOT,ALB,Fastest
0,291.04073335271374,272.40276046531585,BOT
1,312.6776295564946,292.8264900440398,BOT
2,246.92995612201287,245.2064444289294,BOT
3,120.9492373519037,126.55255559375432,ALB
4,141.97643268275573,125.10021772314172,BOT
5,253.28333040638162,238.30861899799606,BOT
6,247.991488049474,268.2555907267616,ALB
7,131.8316258557781,124.69646359214663,BOT
8,250.5979668408264,235.05178351206578,BOT
9,265.0909189877556,243.16635187028047,BOT
10,210.845919340293,209.60659429467216,BOT
11,148.5680477163646,143.16130615577453,BOT
12,223.0503266839953,188.9658116452848,BOT
13,257.46620922272496,258.0444520876529,ALB
14,117.78948675847033,119.56610097123807,ALB
15,208.34033594507272,175.0548492378258,BOT
16,264.12450176598264,247.55042734394647,BOT
17,292.5170491418456,280.83288777723357,BOT
18,307.70004137062034,294.90300002423754,BOT
19,321.7264809161082,300.06916672,BOT
20,330.54048910173356,302.00043156801786,BOT
21,157.51327854849427,195.1200303506859,ALB
22,153.6829997155364,127.86245109830257,BOT
23,183.75862599247807,198.3989009585902,ALB
24,238.52608830591683,224.04413220803482,BOT
25,275.5208373333333,,BOT
