Minisector,ALO,PIA,Fastest
0,279.6309051410728,286.05476041818594,PIA
1,138.98831583378512,142.7200221774734,PIA
2,204.4505305412782,220.54709851799944,PIA
3,268.14877304829304,281.8105910370025,PIA
4,318.2707059326055,312.2541581098044,ALO
5,291.01428480408964,306.6045626007722,PIA
6,140.93328593278457,147.27000026537192,PIA
7,245.528983194328,233.75880034933127,ALO
8,109.92164391799525,110.21585827387358,PIA
9,154.28636009273907,168.29774892616908,PIA
10,273.1253237189191,277.80609994501623,PIA
11,296.5429606018824,297.26046750524375,PIA
12,243.37703288228153,221.25415254874716,ALO
13,162.41257527802537,166.46740940252016,PIA
14,265.31357189333335,278.7890164811975,PIA
15,306.8830006348511,309.9432045754864,PIA
16,320.54675622183726,324.54951948142707,PIA
17,331.03768605225804,332.6512036570106,PIA
18,340.25011195102155,334.4386599813316,ALO
19,345.5469423791478,328.53950925104704,ALO
20,199.07102383598317,206.17740572320972,PIA
21,156.6118254862522,162.76010511923477,PIA
22,277.30686071616975,275.7055530942169,ALO
23,309.0975803073008,310.6936261890855,PIA
24,323.362265684076,319.1763756364484,ALO
25,,316.0,PIA
