Minisector,RUS,HAM,Fastest
0,284.8147340088889,298.37089667540783,HAM
1,293.2113636987013,306.3542823407408,HAM
2,237.0925314535619,242.37439470419014,HAM
3,119.90170545376635,121.10864917267364,HAM
4,134.68354066649886,136.9792549591702,HAM
5,255.28439038176347,253.99942829555553,RUS
6,245.45435740666667,259.8513645906418,HAM
7,128.7471851587733,127.162609117771,RUS
8,253.06569482112553,241.0930678168116,RUS
9,255.72391150064024,248.65297930433863,RUS
10,213.04011450484333,212.84072773931467,RUS
11,143.80775041632725,141.63960864683784,RUS
12,204.5259662115654,205.86392644,HAM
13,254.0423452584814,257.2058862654125,HAM
14,113.87637156383204,116.40296846263196,HAM
15,192.82342850620898,188.6991604797981,RUS
16,270.9309690867633,264.82394577535354,RUS
17,312.97185719887955,305.9788617529514,RUS
18,323.7016527787862,318.0574538556595,RUS
19,327.2149719502521,311.0718025944316,RUS
20,325.15689887695237,305.74633918476195,RUS
21,190.66381841438192,164.23717156417752,RUS
22,143.34121934017116,139.46078605823732,RUS
23,191.20521988626848,188.9021805857611,RUS
24,231.52879095515516,240.56120728160812,HAM
25,258.0,,RUS
