Minisector,HAD,BEA,Fastest
0,276.3257936507936,275.261686188176,HAD
1,118.09218004218005,125.72208120218143,BEA
2,157.60149572649573,163.4449149103705,BEA
3,203.7730303030303,198.73060192669874,HAD
4,166.2355,158.49962993650013,HAD
5,239.28645181978516,229.704040660263,HAD
6,205.1676524099777,193.15219944936376,HAD
7,134.02660430839003,130.3720039807664,HAD
8,239.50073353091352,241.90376560561808,BEA
9,283.18515625,281.61996385753315,HAD
10,278.949452508276,278.01424751718866,HAD
11,151.273419131145,146.0342569698542,HAD
12,225.98000000000002,223.80773524720894,HAD
13,276.39070751630004,275.35352803747037,HAD
14,250.07198879551822,262.6238182097768,BEA
15,103.47280922466236,101.17235280206536,HAD
16,232.20677295407944,230.81022727272727,HAD
17,290.46345512777776,288.7085914915356,HAD
18,313.746918767507,310.33413925396826,HAD
19,320.07261904761907,309.7094708994709,HAD
20,313.5020685009705,302.62803292154194,HAD
21,285.48058783321943,266.5330907371356,HAD
22,159.86909729061657,154.88235227548486,HAD
23,241.74427539289857,236.703722151342,HAD
24,282.218492063492,279.1113365800866,HAD
25,286.0,,HAD
