Minisector,RUS,HAM,Fastest
0,253.81531598006566,250.69756484034633,RUS
1,214.63586353926655,216.3733158487848,HAM
2,207.01762549341964,199.8927415101876,RUS
3,255.58793473855073,255.93495651091416,HAM
4,268.9101728272965,269.2279541361039,HAM
5,289.3031996160983,288.8486519654822,RUS
6,162.58742055088786,176.11264762312925,HAM
7,185.67435141885056,170.86179626431903,RUS
8,266.86303631454706,262.84300344565656,RUS
9,293.61215719896103,292.3879945446236,RUS
10,303.59301588825394,304.1863886807843,HAM
11,306.1841921942857,305.9373571373529,RUS
12,115.57044055419857,120.10160600100849,HAM
13,194.63830932597702,192.17963015082947,RUS
14,272.038943910559,269.7844349129545,RUS
15,295.3753288701754,295.53554605347296,HAM
16,301.8088645650872,302.210156824127,HAM
17,186.75640531349862,183.09139701185987,RUS
18,217.7801582556539,218.29356566470193,HAM
19,269.5522232984127,268.1442441103238,RUS
20,145.31007878104106,149.00473394346247,HAM
21,142.25719694999356,141.92493452824863,RUS
22,217.41227807390476,223.55875608803726,HAM
23,226.18968083262456,232.3395989516988,HAM
24,156.74772667067884,152.77022527733047,RUS
25,226.62953098526467,,RUS
