Minisector,GAS,STR,Fastest
0,243.66932704335238,243.3331433482664,GAS
1,276.4532774826667,279.7712411885714,STR
2,170.08741963852145,169.76461784760573,GAS
3,152.79442544127136,153.67878454953296,STR
4,255.30569457005714,257.146890305641,STR
5,264.8351278416649,260.57716613402596,GAS
6,226.42067257641025,220.41646301209806,GAS
7,203.98716225570007,201.83792328886523,GAS
8,158.1339707992381,155.0096396830784,GAS
9,209.93026589170069,217.46919529244184,STR
10,269.89092423023766,274.9633801662628,STR
11,130.9124140222962,115.849554169496,GAS
12,197.74532714161103,214.92938009411344,STR
13,268.7996373501968,276.30507464177765,STR
14,290.63327203029905,303.2406318115797,STR
15,297.6066523049928,314.8403934222222,STR
16,231.71487990109546,231.91303994934447,STR
17,132.5442472026282,132.45082590555123,GAS
18,128.11370577015998,133.6036188082417,STR
19,121.51436160087451,120.63943913271376,GAS
20,225.56509673532,229.4652571583095,STR
21,257.88579731803344,255.90040033241462,GAS
22,240.86937567706036,222.22296610064885,GAS
23,211.45333423354793,198.09977663532217,GAS
24,136.25334754532142,135.57165574075532,GAS
