Minisector,LEC,GAS,Fastest
0,281.55954074525573,274.6808011758274,LEC
1,304.2649679722449,307.04121375492065,GAS
2,318.54993704067226,327.16107958204077,GAS
3,325.4810732250245,338.96705359960583,GAS
4,329.5099064642177,347.4583146123428,GAS
5,331.97972222019047,344.6366341127171,GAS
6,205.01389865805922,178.74080576723352,LEC
7,112.22046266736865,103.97637127964342,LEC
8,198.35376583825993,185.57218723661376,LEC
9,269.60572373979795,267.77114944,LEC
10,297.7283657037331,300.62711318031745,GAS
11,166.77392348081634,133.71126141126985,LEC
12,95.5614184938839,97.47007923770481,GAS
13,123.2966715338453,120.621824005301,LEC
14,227.65933945043477,218.20655176092959,LEC
15,195.53071519048524,192.96741174519187,LEC
16,238.59548634745826,223.99850942060604,LEC
17,188.33091246324804,178.87747833135785,LEC
18,243.2363191661376,241.23373413988304,LEC
19,283.3912366447972,282.55832832739566,LEC
20,252.93162691291863,219.63145826065877,LEC
21,153.35840824819624,140.52223636639818,LEC
22,98.43824939015622,98.97637852632967,GAS
23,128.22731761365057,126.01109984762914,LEC
24,231.97273812813853,231.53044433002506,LEC
