Minisector,VER,MAG,Fastest
0,306.2494018557522,309.8539604730718,MAG
1,238.63223804018307,236.42812732350885,VER
2,138.7238074936591,137.11643635474715,VER
3,222.8689571835385,222.28342783905782,VER
4,266.6738186769262,265.02474284650594,VER
5,290.2640227575434,289.9477764838692,VER
6,302.30690487873017,304.83624267192516,MAG
7,279.37170694934105,300.85715144457066,MAG
8,176.46198728074305,177.15267959088504,MAG
9,241.8179225124577,238.53545313688437,VER
10,273.5265772728767,272.8653445881503,VER
11,264.4035407364151,271.2309632266554,MAG
12,215.00553119336456,203.88523355048756,VER
13,132.58237466084518,130.56101889796986,VER
14,126.10304369282107,125.65719342164728,VER
15,170.55626666079914,168.51417796748015,VER
16,129.04185925767098,124.40802910395696,VER
17,234.23814079899026,231.63916736646766,VER
18,191.09024605339098,196.17466885887958,MAG
19,169.41087460894198,160.5938913698181,VER
20,247.8327566727681,248.6532017838193,MAG
21,275.90653033592196,277.0093522555453,MAG
22,292.47020095238094,296.19720238030203,MAG
23,301.82580883256065,315.9968180919391,MAG
24,306.8059426710223,327.0854166095238,MAG
25,308.0,329.4351463269901,MAG
