Minisector,GAS,HAD,Fastest
0,278.06292610612246,300.5472787591837,HAD
1,299.0,310.76151997380117,HAD
2,234.4683008671605,231.0392199783619,GAS
3,120.19675977895638,158.7283908799176,HAD
4,131.30906031501857,158.0,HAD
5,240.59986553034014,182.55348790995671,GAS
6,237.29128039415875,268.5317741752066,HAD
7,130.12546128467704,157.20626125995108,HAD
8,249.0495533632834,174.80449988857146,GAS
9,250.89673545256198,247.42432390015966,GAS
10,209.80856711085713,238.27808645501165,HAD
11,138.65258471693554,174.29743648884013,HAD
12,203.27270920496295,132.87423147834986,GAS
13,252.51030215453417,246.0356487678596,GAS
14,112.11614428507959,177.8862913329386,HAD
15,196.6577557611789,120.54615156961718,GAS
16,271.09237978261876,224.56620422448236,GAS
17,309.5103140919728,284.40182711051546,GAS
18,322.6905080470588,325.13808758687657,HAD
19,325.4715789922807,335.8435863810097,HAD
20,321.1273437,328.07000136973545,HAD
21,220.77320291224362,316.1655158091811,HAD
22,121.96814203917137,116.5430047840948,GAS
23,188.93842887777777,207.4438846149331,HAD
24,225.3764500240355,183.30332141262787,GAS
25,,261.33539951084174,HAD
