Minisector,HAM,PIA,Fastest
0,297.7533770178958,293.6617989802215,HAM
1,225.03533011674662,214.0401143390891,HAM
2,231.41943866920926,228.02306866767955,HAM
3,277.29851057012576,272.55817312372005,HAM
4,247.73490686788767,243.04246674516594,HAM
5,130.5431826382074,130.72351193444513,PIA
6,212.74547124370116,214.0267647127321,PIA
7,262.2047462460229,260.17706691735015,HAM
8,254.56326635267826,251.27795780931604,HAM
9,244.2700701465819,240.9488540201023,HAM
10,274.57708633293123,272.3948596491159,HAM
11,290.8835490457143,286.83855019863944,HAM
12,297.698206054321,293.14536262492754,HAM
13,300.9802400875176,296.80160415021334,HAM
14,296.2762999707268,297.1524795478261,PIA
15,258.70694973308593,262.77827658708827,PIA
16,249.32064895629716,250.04040023328696,PIA
17,278.3891690057836,275.63604846868685,HAM
18,289.97823529809017,284.82302944724125,HAM
19,159.10792780021973,167.2373101579963,PIA
20,212.0191228160031,215.0188370196771,PIA
21,204.7820179439653,191.94948535845916,HAM
22,136.55771370105015,138.90041052962047,PIA
23,243.95849424241646,234.68392926489926,HAM
24,280.3081356504473,277.85288644730946,HAM
25,,289.84000128,PIA
