Minisector,HAM,ALB,Fastest
0,261.7063930095161,258.0808854316916,HAM
1,216.35432116989247,226.1593500072111,ALB
2,141.0577426816193,149.94956304060668,ALB
3,230.10735023893002,241.21802816894467,ALB
4,269.33421733052717,272.2127061751636,ALB
5,179.4951715273049,181.26058646219403,ALB
6,99.80420220969494,99.29735293202961,HAM
7,136.12415267396324,133.0560805719951,HAM
8,248.21667628464013,247.4219727475407,HAM
9,163.54508503826548,168.25904014923296,ALB
10,183.91286087406635,182.70188593400565,HAM
11,253.99272339004102,254.39839707545786,ALB
12,234.16182269162562,245.78000239629404,ALB
13,251.30990791991533,262.11712784466795,ALB
14,279.12323336811596,283.2020830222222,ALB
15,264.7504620355624,276.4397094095238,ALB
16,141.32097813173547,139.83819285432108,HAM
17,232.0618028586884,229.78270813933352,HAM
18,278.93904751701865,274.9498279595253,HAM
19,290.7713767884058,285.33695647536234,HAM
20,295.06159411014494,290.8411015055667,HAM
21,300.83829363809525,296.128010444585,HAM
22,148.51642731731155,145.2759374684025,HAM
23,84.79528129856695,82.12473328462315,HAM
24,168.27287129174152,162.77052255465682,HAM
25,241.88333226666666,,HAM
