Minisector,STR,RIC,Fastest
0,318.3669022898245,330.4401903518286,RIC
1,328.32298952469404,345.77773629059726,RIC
2,324.63456438787875,354.6400595657143,RIC
3,199.12405117555446,214.65101976647406,RIC
4,121.29095685790361,114.06438898316948,STR
5,267.1142180871739,263.9444697003173,STR
6,300.99427062222225,301.58909978509445,RIC
7,315.77471538881986,320.2938406956522,RIC
8,291.37593367767164,283.8303028323512,STR
9,146.19877973861597,145.9950447079028,STR
10,225.63938513744102,220.93388312409377,STR
11,219.7262724798248,216.19638539146933,STR
12,200.9000393270321,197.45712432163046,STR
13,269.2721171785724,268.2151667461483,STR
14,304.87269694409935,307.0293545126294,RIC
15,316.56845664894996,322.3994943897445,RIC
16,267.593362962963,260.91815428571425,STR
17,205.5177727678754,202.3675152111626,STR
18,272.60936490421125,269.3046299202822,STR
19,305.39148507826087,308.1311364660716,RIC
20,319.67686137596644,322.99821429399583,RIC
21,310.90572952315864,306.8711504184462,STR
22,210.42164123196903,205.81710656627288,STR
23,262.9471723809524,262.21615297864935,STR
24,301.5249841498183,305.4447916,RIC
