Minisector,VET,HAM,Fastest
0,265.98218536769076,270.0809546353038,HAM
1,135.91671917497592,132.6694138711747,VET
2,264.66343350217363,270.65509100246913,HAM
3,305.1273004746085,316.0798490244262,HAM
4,303.70749994666664,315.7625000507937,HAM
5,309.7817708,328.08732919463114,HAM
6,313.84751158306875,332.8634385312803,HAM
7,315.03478265507243,331.60549246060606,HAM
8,213.4068847814672,193.91839682601625,VET
9,201.9285391814672,203.3063544249265,HAM
10,190.3242525262014,177.2766341618299,VET
11,164.51781062788112,169.0265584162814,HAM
12,253.94535719619046,259.50201022528734,HAM
13,280.07109350174346,282.4777546131164,HAM
14,283.9392857494505,282.0729622818646,VET
15,282.494443784127,269.346438052184,VET
16,187.79441368273712,190.60840952967033,HAM
17,197.30267045559845,194.85258061834634,VET
18,244.65635755548746,249.9144992074141,HAM
19,291.1169287619048,294.763255214652,HAM
20,309.82458573760186,314.8828459309776,HAM
21,316.17088000764335,321.82547133968257,HAM
22,316.3083580888889,320.8953156481406,HAM
23,271.65444486097437,231.7272376150072,VET
24,117.86588611666667,118.4969917685444,HAM
25,230.93333333333334,,VET
