Minisector,OCO,GAS,Fastest
0,267.1841107287267,271.02812565333335,GAS
1,286.81421973333335,287.56362214783144,GAS
2,292.6666676210526,295.0426891931793,GAS
3,124.13723919817181,133.98336206776625,GAS
4,191.3188164361059,195.82875271133165,GAS
5,251.3786024607108,258.01666732698413,GAS
6,137.70993014041363,151.35408740465772,GAS
7,201.1599463108949,203.66808670786423,GAS
8,256.28333280000004,257.18359103780244,GAS
9,274.9911194395665,278.8114037894737,GAS
10,235.7759120608195,249.8952643878788,GAS
11,178.69218984889847,191.82142724353744,GAS
12,188.13244700738528,191.87771981613344,GAS
13,151.77693725031367,157.29591972661066,GAS
14,179.64859114217572,182.879971205215,GAS
15,161.47523158009744,169.42754471043125,GAS
16,213.75129964016207,218.5622854672824,GAS
17,230.5413787055885,244.5415730056264,GAS
18,232.69063018408656,240.67691600828158,GAS
19,239.35985037575756,258.77219258780707,GAS
20,142.44366577234928,146.71159887567566,GAS
21,132.66349102199425,147.3579088426291,GAS
22,167.34954927546434,169.0358809302208,GAS
23,148.6734490695178,156.68432323932007,GAS
24,223.74999795555553,227.37354565146896,GAS
25,253.14999893333334,258.25,GAS
