Minisector,VER,PIA,Fastest
0,271.1236549102088,271.5336618492517,PIA
1,247.53886847337475,253.51826428034445,PIA
2,120.99790044479633,120.17190481452204,VER
3,169.21921862841248,173.24689340175428,PIA
4,197.0205220456192,198.64738520842434,PIA
5,189.3818789388775,196.90873994420892,PIA
6,260.48627887299915,262.5175089636431,PIA
7,284.18004157866665,283.01777423593785,VER
8,237.37911799713646,245.29792770962965,PIA
9,149.28329809964552,147.30254243008548,VER
10,122.28139554818776,119.80160014490043,VER
11,166.85852029805028,167.43565706863635,PIA
12,247.30332687150025,245.6429095267725,VER
13,158.8517985769634,163.77639214411877,PIA
14,145.63927059849726,148.03758017139424,PIA
15,106.1740220031843,109.63818163902755,PIA
16,215.45670179660502,212.6591622874334,VER
17,240.42093923189714,239.1979855882616,VER
18,130.44612387616445,127.9071856288634,VER
19,240.71758874677707,234.1205234575238,VER
20,273.72250602185466,272.0206850603214,VER
21,200.75314769084312,223.55939398878385,PIA
22,152.0639730885748,148.52007845713007,VER
23,220.83568535482445,221.43544682319487,PIA
24,228.44227863331972,230.65300067572346,PIA
25,,257.2062496,PIA
