Minisector,BOT,ALB,Fastest
0,297.42065977777776,323.4057957533835,ALB
1,299.57904550982323,330.58359404258636,ALB
2,260.8453045253068,280.20652173913044,ALB
3,155.81127886611688,159.88762243632007,ALB
4,176.00123826730922,166.6936184676859,BOT
5,217.29885057471265,212.5868055111111,BOT
6,239.30940094454783,231.71888907742536,BOT
7,217.20607553366176,211.9361111111111,BOT
8,268.20561445437926,261.9234412910579,BOT
9,264.78623188405794,257.094246031746,BOT
10,274.1897671620264,273.19306418219463,BOT
11,278.5908472149417,271.40567758505813,BOT
12,275.3190379959962,263.01475694444446,BOT
13,265.3284503735921,265.88023031872825,ALB
14,181.93648679604843,176.4375,BOT
15,238.9346711922035,233.00723002007632,BOT
16,210.89694410666667,218.18596059113298,ALB
17,175.01756731512694,173.34814997168598,BOT
18,257.91289121111714,255.52,BOT
19,284.1012803029411,284.7169401372682,ALB
20,260.2932536126984,262.32093253968253,ALB
21,189.47614945396356,188.5233680874136,BOT
22,255.50686835954676,254.5388198757764,BOT
23,282.1098275558046,282.67529596063923,ALB
24,293.77155798260867,295.08730158730157,ALB
25,,301.0,ALB
