Minisector,RUS,HAD,Fastest
0,322.29666103335785,322.7088282828283,HAD
1,332.24397532113517,334.69601850158733,HAD
2,333.53954365079363,335.95399117754386,HAD
3,192.73269369543942,195.12926659337867,HAD
4,126.32520282883232,123.57399804165456,RUS
5,266.8533639376938,264.3762954409113,RUS
6,300.63218096250023,302.13846666666666,HAD
7,315.5769584762716,317.53596154943153,HAD
8,283.59839550442723,269.9172179003576,RUS
9,148.38995957751658,146.43842351653146,RUS
10,227.92276908178894,223.38196475934194,RUS
11,231.28889476778366,227.72139139320444,RUS
12,207.45214469402683,204.26696408131,RUS
13,272.16287447197874,271.61190784470017,RUS
14,309.13888334610647,309.50754071541587,HAD
15,320.04677248677245,324.4521108570865,HAD
16,272.2315939486808,262.8759504064,RUS
17,222.6448118371721,218.6988132502943,RUS
18,280.12462389100943,279.1244727627881,RUS
19,310.1550396825397,312.0339966079163,HAD
20,320.39643119264827,324.78921568627453,HAD
21,298.04411771294764,295.1618812513441,RUS
22,222.80635802469135,212.03894175415203,RUS
23,270.60572685749236,268.5556453003104,RUS
24,306.66775017253275,307.68543049862427,HAD
