Minisector,NOR,ALO,Fastest
0,270.92827709283836,264.0330026903704,NOR
1,287.25049071407403,282.5936861405195,NOR
2,292.6454845098136,289.013902846675,NOR
3,127.80736396100038,134.15025109152594,ALO
4,193.0471364116511,194.4180983287664,ALO
5,253.23727930145904,253.65201202008436,ALO
6,142.48028916204737,139.32340720256002,NOR
7,209.16057859726206,204.8222648353347,NOR
8,256.40782508382875,257.0956246156211,ALO
9,277.0347338487395,277.8806712,ALO
10,245.11663545112782,240.6158329684489,NOR
11,183.84484303941392,191.19797152821846,ALO
12,195.22843165038137,190.250058637445,NOR
13,145.36674521751337,142.0971144862978,NOR
14,179.25059218351254,181.08139173616857,ALO
15,160.7272364710787,164.79274334733432,ALO
16,220.92601296888887,215.64496237805807,NOR
17,240.60129209561833,240.64707288126985,ALO
18,244.9119567977938,244.85062052836437,NOR
19,240.32181521471327,239.20091211626146,NOR
20,145.81785573672371,145.8851399306034,ALO
21,131.8136269317624,139.277371060262,ALO
22,169.7263437302806,169.17352995434032,NOR
23,155.0862408649178,150.18786787433808,NOR
24,233.2430161922902,229.7625216740955,NOR
