Minisector,ALO,STR,Fastest
0,264.0330026903704,268.47393649284857,STR
1,282.5936861405195,287.7305636097965,STR
2,289.013902846675,295.8779144008556,STR
3,134.15025109152594,132.0718652238234,ALO
4,194.4180983287664,190.1361980969095,ALO
5,253.65201202008436,254.9994392205752,STR
6,139.32340720256002,142.56859696615402,STR
7,204.8222648353347,205.23830518383272,STR
8,257.0956246156211,256.15592714666667,ALO
9,277.81482832941174,280.1662031558897,STR
10,242.3605678335194,237.4804988121212,ALO
11,192.7238223255599,180.69846840734436,ALO
12,188.6400562919472,186.6319114590941,ALO
13,142.28764931399462,137.11226544155937,ALO
14,179.27813606672183,176.91660983572018,ALO
15,164.79274334733432,162.0017136922124,ALO
16,215.64496237805807,218.39513965007592,STR
17,240.64707288126985,238.85212279932776,ALO
18,244.85062052836437,242.22400304761902,ALO
19,239.20091211626146,232.56337352063915,ALO
20,145.8851399306034,141.95265128761906,ALO
21,139.277371060262,132.06594352510743,ALO
22,169.17352995434032,173.4153621849992,STR
23,150.18786787433808,154.02024235580856,STR
24,228.70160983000483,227.08057912720977,ALO
25,252.04167040000002,254.22726865454544,STR
