Minisector,ALO,ALB,Fastest
0,249.58567172402118,245.41572188950983,ALO
1,126.04566036892935,121.47028533356668,ALO
2,258.15992659513756,264.99990854680135,ALB
3,300.2549385052352,306.85131371664625,ALB
4,303.901749607218,300.258160501115,ALO
5,311.1094878851282,317.530377056508,ALB
6,314.1936821387198,330.3749098876792,ALB
7,308.1635119949206,330.58692887408324,ALB
8,192.28034333045593,185.5252456394131,ALO
9,177.93535192049276,177.49785378184126,ALO
10,180.58493405307257,172.21493253606852,ALO
11,161.9351731216174,168.8043189485814,ALB
12,243.6580187031746,250.52844717559395,ALB
13,267.510112513536,240.99923422126318,ALO
14,274.10244704169315,257.88982703386216,ALO
15,262.4139447964078,249.22282488267462,ALO
16,166.8237995490982,165.39802200775947,ALO
17,170.1647285039276,173.87895031344115,ALB
18,225.8223884769128,230.7089342886104,ALB
19,278.38786928599365,278.91423700471285,ALB
20,299.5171700923077,302.33970725687647,ALB
21,305.30597076828406,308.98378829029394,ALB
22,301.11452663566575,307.76479584190474,ALB
23,249.8954747498059,227.5650938523511,ALO
24,106.77891327770027,108.6704243169269,ALB
25,220.55279485328492,,ALO
