Minisector,VET,GAS,Fastest
0,292.2644673185185,287.54014821290235,VET
1,302.7927082666667,297.97109366666666,VET
2,307.38562868025286,301.4593137389356,VET
3,307.16911861960784,302.11718833333333,VET
4,180.43396263704392,178.29635029487852,VET
5,216.86484958487267,212.8642709697834,VET
6,248.39611639727892,242.3073172039239,VET
7,272.4896330400687,266.1914513804727,VET
8,274.1178235259259,264.0288553463659,VET
9,164.77252772203036,169.10860665502602,GAS
10,233.61390582164503,232.55059423492062,VET
11,138.22061004176186,138.66921870771904,GAS
12,222.34891117184267,223.7177187336475,GAS
13,194.46184639774623,197.34801984561713,GAS
14,220.14499363463202,212.3437479111111,VET
15,254.27416656,247.90000904830717,VET
16,266.6801958907518,260.640976641604,VET
17,289.6486110222222,281.94563639183497,VET
18,133.64462734035087,139.24621244310777,GAS
19,166.15169851770742,164.29859099954024,VET
20,148.01596611316526,149.05335695933672,GAS
21,168.79347182222222,172.18887497024255,GAS
22,120.70187320369871,120.70365780813007,GAS
23,231.5498807667186,224.47180572813852,VET
24,274.1346804130326,266.1135763470986,VET
