Minisector,VER,OCO,Fastest
0,290.9370106352941,290.98906213333333,OCO
1,293.4323521882353,301.72662856666665,OCO
2,173.87870222615294,158.4149164001242,VER
3,228.36622220190475,222.0687136721885,VER
4,275.38406958431375,276.6271941904762,OCO
5,294.12924655746036,297.0926820685961,OCO
6,297.66582612436974,305.5030555022222,OCO
7,169.09627478095237,170.7282435879827,OCO
8,137.60838973185201,127.33427387572782,VER
9,251.01984292063491,249.79800908935502,VER
10,282.87447550028014,286.23958319999997,OCO
11,288.5775490342071,298.04305557333333,OCO
12,151.7225776344086,150.19584981999571,VER
13,202.45540715636525,194.6949347451381,VER
14,258.0888894222222,261.8320406020577,OCO
15,206.40964882696423,191.14279881893606,VER
16,223.4722409974026,219.15917942523993,VER
17,212.13868952380952,208.02424281212123,VER
18,247.2580921641166,241.87668486420708,VER
19,277.3397065411765,276.05931356862743,VER
20,289.93538199347773,292.7049007746031,OCO
21,255.77148088742499,254.09604133837107,VER
22,230.18624896,218.30634991746032,VER
23,213.62438878874698,203.22101430724638,VER
24,267.7407149405647,268.0341624115554,OCO
