Minisector,STR,RAI,Fastest
0,289.4317739342443,296.62954490735933,RAI
1,156.53977192260584,156.05297421696213,STR
2,150.5271768,153.8258709201096,RAI
3,226.59328814992267,222.8138303316964,STR
4,284.9747701842607,282.9921808969697,STR
5,286.5326069068323,294.74959070098504,RAI
6,143.30192345855784,147.13504932634373,RAI
7,143.15170684223602,140.24352814914258,STR
8,142.87311409442393,148.88475813295582,RAI
9,186.64609333495528,180.00550137089002,STR
10,131.63397096428227,129.9533867527159,STR
11,124.03337773248234,126.75187486296547,RAI
12,164.34492416240602,158.18711327929128,STR
13,265.7401045878403,263.67412884234676,STR
14,287.05511355151515,289.37797654025974,RAI
15,154.06284041360544,154.63456652152118,RAI
16,206.7334608891434,217.96844379152583,RAI
17,168.46455704502839,162.86082000761905,STR
18,270.0249990826667,267.65630052063494,STR
19,294.5846589090909,292.9245134060606,STR
20,308.6706558657596,304.9158732190476,STR
21,316.80999994666666,313.3007145142857,STR
22,319.65583327999997,316.6348461681999,STR
23,321.1991666133333,318.70395829333336,STR
24,319.3684211087719,319.50773805714283,RAI
25,315.1333333333333,319.0,RAI
