Minisector,VER,VET,Fastest
0,281.1177185041812,279.70946879927953,VER
1,297.41290111212146,296.9842714388993,VER
2,294.98674447140644,296.4040194598194,VET
3,187.3554041529522,171.7140121715601,VER
4,134.86829383010584,121.84148866118528,VER
5,244.11726945698166,240.26850407217162,VER
6,283.4182980778038,282.8295671794872,VER
7,290.82692246153846,293.2872867903224,VET
8,191.5418000702392,182.45546270050647,VER
9,154.1649308410548,143.514234712902,VER
10,256.5545398285714,253.8386644371074,VER
11,291.47756246868454,290.5180475184762,VER
12,304.4598767987761,301.53628423166646,VER
13,292.08657217285327,277.4715151309339,VER
14,301.32037557069526,294.4872718676415,VER
15,302.83442230647154,297.908166784,VER
16,265.9080564100822,257.649535895751,VER
17,239.6825426404548,221.28691434724576,VER
18,279.8254442891479,274.5505630389708,VER
19,297.12016045460814,296.7091237934562,VER
20,299.32024641105585,302.60022474362813,VET
21,247.32463603339687,234.24393106235738,VER
22,267.91899123938856,258.62041938319663,VER
23,145.66338297420236,140.58638989846494,VER
24,227.01029311167767,211.12607914639574,VER
25,,260.73333333333335,VET
