Minisector,VET,HUL,Fastest
0,294.6595756389234,297.3313663469979,HUL
1,255.37095270325386,243.30748314224755,VET
2,200.6224705438048,203.0883333688889,HUL
3,264.93260348953766,265.47927476892016,HUL
4,244.08541583589744,232.75862025255734,VET
5,120.25517157703433,115.79790906032095,VET
6,183.5741491631978,182.09107184761905,VET
7,258.28697924444447,257.1730369465516,VET
8,287.3118275700095,286.49223505454546,VET
9,300.2662698666667,300.0101042646403,VET
10,306.93985356589695,305.6453794247619,VET
11,241.21344878047898,216.08413350703984,VET
12,145.52561797893898,149.58038424562534,HUL
13,257.08478260869566,258.3289163539259,HUL
14,289.59575018461743,288.48541684502163,VET
15,298.481746031746,297.9036703740579,VET
16,294.4981504588191,294.25541770385576,VET
17,271.5841450943723,255.32541900181874,VET
18,187.39459513514635,183.7132052107224,VET
19,190.96049362039687,181.31483718070473,VET
20,180.4268776571947,186.81087214096726,HUL
21,249.17306326390704,240.32448088199396,VET
22,128.94004522333663,122.54362264292736,VET
23,203.80791231736575,207.20908884317458,HUL
24,276.18105497254857,276.18266720172545,HUL
25,289.0,,VET
