Minisector,LEC,PER,Fastest
0,290.1003676574915,292.3278545523809,PER
1,302.4666483911111,303.1945041672317,PER
2,304.16116178332686,297.76603140849994,LEC
3,184.91837918745892,177.23631392257516,LEC
4,210.73644658262418,208.00705928836197,LEC
5,198.7903803667652,201.46141047019373,PER
6,262.5658848297726,261.7361418031746,LEC
7,258.2743251445887,248.4103894986689,LEC
8,204.9127858043443,199.3903149357037,LEC
9,206.7139317239271,205.7821886988295,LEC
10,138.96954296316406,146.05966386149294,PER
11,199.85164594937703,185.89397548492582,LEC
12,179.30324006784892,184.81981747713343,PER
13,251.20410973079365,237.252106598557,LEC
14,173.6138323353792,172.05210216725987,LEC
15,232.72381130662953,236.4729988538433,PER
16,276.0917228335601,275.0475591111111,LEC
17,287.6789427884665,276.3829810565079,LEC
18,275.146625104,264.0515377348752,LEC
19,259.9888650941863,250.0862499478261,LEC
20,260.956845551746,253.2975658918739,LEC
21,257.35550285084884,258.39094232612837,PER
22,228.91898080418116,201.5445034336508,LEC
23,189.20216012257484,199.03316319564667,PER
24,267.51906562651396,269.5110764289524,PER
