Minisector,HAM,RUS,Fastest
0,277.55661612133923,275.80130517238564,HAM
1,300.0185710322909,299.7228269073302,HAM
2,291.47793478647344,297.92088448607836,RUS
3,168.23876062578495,179.22677096527585,RUS
4,117.34963261845421,117.11835793832024,HAM
5,236.4184976762407,232.862470593204,HAM
6,292.0561565187846,291.3266953875441,HAM
7,311.91975238095233,310.4321728200867,HAM
8,174.5243401996212,173.37861523473123,HAM
9,139.96828747478867,135.22188173443033,HAM
10,249.22853471650794,246.2814621757823,HAM
11,290.4120787781361,288.55161469637164,HAM
12,306.9681001220767,303.81176712683055,HAM
13,280.52593003311966,282.0974970392569,RUS
14,298.5281003804124,298.4671053152882,HAM
15,304.07807560126986,300.8001387128889,HAM
16,249.81699094305867,256.72541376616783,RUS
17,224.01121587724057,222.07706086996416,HAM
18,281.68533997821305,279.68296756785094,HAM
19,313.0936248430487,312.48178839655503,HAM
20,321.60463133658584,321.9895320924806,RUS
21,222.1014719161245,225.98902739100166,RUS
22,252.0565162094768,250.04615584647513,HAM
23,139.31712521628504,133.3425531333556,HAM
24,203.49772279318904,195.64717878064934,HAM
25,251.0,254.43819555555555,RUS
