Minisector,PER,NOR,Fastest
0,305.93383687101993,296.84434027015874,PER
1,235.43982800391402,233.91417733685043,PER
2,133.15415481908056,124.40211224352458,PER
3,228.65101614808927,241.38757759509429,NOR
4,195.07958099331395,193.28775289875225,PER
5,246.01911179744107,249.74447131524695,NOR
6,231.8291563445421,237.24884759677957,NOR
7,260.6174989019734,259.82324301781836,PER
8,287.0515511203078,284.66368670319594,PER
9,202.97111049142856,209.98601665157116,NOR
10,207.39061656971904,205.401476844496,PER
11,268.83035595663796,270.1837114409331,NOR
12,212.92607900154195,222.7077768785663,NOR
13,248.95251418891445,250.00322452567983,NOR
14,291.7124926254994,290.4989951471786,PER
15,308.0189765101449,305.20745046867177,PER
16,305.438027981118,303.6407111629123,PER
17,217.01313465288325,214.05916905619097,PER
18,261.3380623406338,261.81760687238096,NOR
19,295.2432439674459,291.73820131943694,PER
20,310.4169283980381,306.0792496079503,PER
21,309.8635750472934,300.12513450742887,PER
22,152.8087752456242,156.96008247093394,NOR
23,232.95314380695748,228.94609723385526,PER
24,285.71928675897436,282.71918201793534,PER
25,296.49999872,293.7492163512544,PER
