Minisector,ANT,LIN,Fastest
0,298.08341069942855,298.4295430523996,LIN
1,224.60580964699747,206.3799578845019,ANT
2,215.88179158349692,222.46491459809525,LIN
3,276.3720800797166,272.2452286695554,ANT
4,261.0339271732837,234.99841845424763,ANT
5,122.92872855765228,120.99029538521467,ANT
6,198.63653363633335,200.81289308685047,LIN
7,251.12956700350375,245.54407431757576,ANT
8,239.62376024324516,227.78117579880853,ANT
9,239.9801585567753,230.6913787317914,ANT
10,286.91248193593185,283.0508651370165,ANT
11,305.4735189155556,308.5843157556773,LIN
12,317.72630344536566,323.4498874791958,LIN
13,314.2719035324852,324.19854486942245,LIN
14,307.6294067274854,316.22475203196535,LIN
15,263.88251192226363,235.2643763477537,ANT
16,240.12924073818067,227.53412580142648,ANT
17,281.1363081764182,278.41882354652495,ANT
18,288.2191182440573,289.46006073593077,LIN
19,156.87959282443512,149.2393111670742,ANT
20,200.10540591817912,190.88253066067122,ANT
21,179.5973548885397,161.0032740276987,ANT
22,130.28863841828968,133.3664975678764,LIN
23,237.2003449444953,241.6228192239276,LIN
24,285.88664082984127,289.8590317858251,LIN
