Minisector,HAM,ALB,Fastest
0,288.9189585066666,292.21054207823937,ALB
1,293.0325937980324,288.62260857260895,HAM
2,168.11587285751708,168.95912632611834,ALB
3,235.9510424,230.32369308583918,HAM
4,280.1290590510261,274.77741268370926,HAM
5,298.0190671461531,292.07190049356285,HAM
6,303.96127454117646,297.6994362940032,HAM
7,153.66710677183744,156.88147205662418,ALB
8,149.49766274612244,142.44262237176224,HAM
9,256.9416100742134,253.00367557308834,HAM
10,286.83932737566136,282.16282675212364,HAM
11,297.6914926793148,286.0007042365915,HAM
12,148.3254398069794,147.97806427205285,HAM
13,210.29551138048146,208.58416776533332,HAM
14,269.44686850167943,262.2201303704534,HAM
15,210.42828006061723,209.4086229146739,HAM
16,228.67564207373525,229.52229609606627,ALB
17,223.31738062019048,221.7806659272749,HAM
18,253.53529720394195,252.8926096126984,HAM
19,280.97412376666335,277.64581674548026,HAM
20,296.88157911578946,290.6579475483379,HAM
21,267.5598610544849,265.0999992533333,HAM
22,228.20544033443147,229.42261014108564,ALB
23,216.97020463247623,217.28752638192182,ALB
24,273.7835323574012,269.84529814260316,HAM
25,289.4166677333333,,HAM
